id	sales
0	12.968099083429179
1	15.628282772044468
2	16.272252457964736
3	16.934116894153803
4	18.485174620258796
5	20.416910588314177
6	21.20132878099645
7	12.921621734962926
8	15.48765507731268
9	16.049277051337207
10	16.64284117966693
11	18.141390162994355
12	20.03761903803207
13	20.804189786522215
14	12.524398524828028
15	15.107673166439003
16	15.70291089605202
17	16.34504256653934
18	17.905270714908717
19	19.874097496454638
20	20.721712733793183
21	12.528741004194568
22	15.201823302726702
23	15.887040185765741
24	16.61656106004444
25	18.258963924670375
26	20.302339599716998
27	21.214748557742986
28	13.075027442366586
29	15.788419261939723
30	16.500032943209778
31	17.24151605012495
32	18.881384494894174
33	20.90812318317563
34	21.790626003380034
35	13.608972911363045
36	16.270019114585
37	16.920803372589052
38	17.595160825547346
39	19.163986009374227
40	21.118262000881828
41	21.929426216205993
42	13.680072776018097
43	16.279468591475045
44	16.87689226381446
45	17.508183152968456
46	19.045948031583187
47	20.982542791697306
48	21.790400976481443
49	13.552709992814984
50	16.178912770908088
51	16.818044232946043
52	17.505289847849834
53	19.11221327083433
54	21.129769792866774
55	22.028676332301025
56	13.890137519490883
57	16.621404111914973
58	17.369171396107824
59	18.16620302264641
60	19.881625370521988
61	22.004007248644648
62	23.00179378927962
63	14.954092300705966
64	17.766284677114115
65	18.583472571923306
66	19.437139559612184
67	21.19547442211389
68	23.346469692779017
69	24.35836393827865
70	16.31042547957184
71	19.1085523882025
72	19.89869549638113
73	20.71348945252192
74	22.42253701119915
75	24.515461955810522
76	25.46230057230384
77	17.344230939817614
78	20.069116520246002
79	20.784872460527275
80	21.526041295976103
81	23.16402483255872
82	25.190089081715954
83	26.075713486548704
84	17.90328483345282
85	20.581613237402728
86	21.259279274874444
87	21.971199351434226
88	23.588856210749487
89	25.603311318860804
900	36.70209325837059
901	43.57198161881264
902	44.420370792639375
903	47.21849875715205
904	50.566238817126504
905	54.339603589852075
906	57.66762905365224
907	36.4868317185557
908	43.28090344424764
909	44.07044301179329
910	46.8273003650614
911	50.15137344972815
912	53.918163416731545
913	57.25572342157672
914	36.09919138092504
915	42.93056828177369
916	43.76853808299718
917	46.582902018959906
918	49.971464185582185
919	53.807671278864426
920	57.217639057011525
921	36.13475354323901
922	43.0395065974204
923	43.949360363735394
924	46.83321233984775
925	50.28829737696701
926	54.18782940865718
927	57.65801589745803
928	36.63263389943134
929	43.592828684918246
930	44.556931108083816
931	47.494867468704854
932	51.00500041503978
933	54.96170608942007
934	58.492322988989336
935	37.53166392522031
936	44.56175441867186
937	45.601595957438526
938	48.6215298645556
939	52.22004202595683
940	56.271315030942255
941	59.902164155909404
942	39.046549109210716
943	46.18532497211284
944	47.336030425004985
945	50.4672882404293
946	54.175657134491814
947	58.333240010793226
948	62.06468320316837
949	41.301756564290784
950	48.523175585985214
951	49.74446128668471
952	52.932410463708976
953	56.68201306798496
